Model=CNNV4, Epoch 30/45: BatchSize=64, Loss=0,011429, MSE=0,009156, RMSE=0,095687, R²=0,960832
Model=CNNV4, Epoch 31/45: BatchSize=64, Loss=0,005021, MSE=0,008628, RMSE=0,092886, R²=0,963091
Model=CNNV4, Epoch 32/45: BatchSize=64, Loss=0,002424, MSE=0,006263, RMSE=0,079138, R²=0,973208
Model=CNNV4, Epoch 33/45: BatchSize=64, Loss=0,001934, MSE=0,006010, RMSE=0,077522, R²=0,974291
Model=CNNV4, Epoch 34/45: BatchSize=64, Loss=0,004357, MSE=0,005916, RMSE=0,076916, R²=0,974692
Model=CNNV4, Epoch 35/45: BatchSize=64, Loss=0,007350, MSE=0,008917, RMSE=0,094428, R²=0,961856
Model=CNNV4, Epoch 36/45: BatchSize=64, Loss=0,008710, MSE=0,014798, RMSE=0,121647, R²=0,936695
Model=CNNV4, Epoch 37/45: BatchSize=64, Loss=0,006851, MSE=0,019729, RMSE=0,140459, R²=0,915603
Model=CNNV4, Epoch 38/45: BatchSize=64, Loss=0,004187, MSE=0,021070, RMSE=0,145157, R²=0,909863
Model=CNNV4, Epoch 39/45: BatchSize=64, Loss=0,002462, MSE=0,016796, RMSE=0,129600, R²=0,928148
Model=CNNV4, Epoch 40/45: BatchSize=64, Loss=0,005735, MSE=0,010944, RMSE=0,104612, R²=0,953184
Model=CNNV4, Epoch 41/45: BatchSize=64, Loss=0,008625, MSE=0,009606, RMSE=0,098010, R²=0,958907
Model=CNNV4, Epoch 42/45: BatchSize=64, Loss=0,013238, MSE=0,013795, RMSE=0,117451, R²=0,940988
Model=CNNV4, Epoch 43/45: BatchSize=64, Loss=0,011372, MSE=0,017925, RMSE=0,133885, R²=0,923318
Model=CNNV4, Epoch 44/45: BatchSize=64, Loss=0,008220, MSE=0,016536, RMSE=0,128594, R²=0,929259
Model=CNNV4, Epoch 45/45: BatchSize=64, Loss=0,005646, MSE=0,012584, RMSE=0,112176, R²=0,946169
Model=CNNV5dropout, Epoch 1/50: BatchSize=32, Loss=0,339253, MSE=0,336532, RMSE=0,580114, R²=-0,439648 (.3 .3 .5)
Model=CNNV5dropout, Epoch 2/50: BatchSize=32, Loss=0,261999, MSE=0,299673, RMSE=0,547424, R²=-0,281967
Model=CNNV5dropout, Epoch 3/50: BatchSize=32, Loss=0,296931, MSE=0,272126, RMSE=0,521657, R²=-0,164125
Model=CNNV5dropout, Epoch 4/50: BatchSize=32, Loss=0,232880, MSE=0,258791, RMSE=0,508715, R²=-0,107078
Model=CNNV5dropout, Epoch 5/50: BatchSize=32, Loss=0,259693, MSE=0,241848, RMSE=0,491781, R²=-0,034601
Model=CNNV5dropout, Epoch 6/50: BatchSize=32, Loss=0,207140, MSE=0,228601, RMSE=0,478123, R²=0,022068
Model=CNNV5dropout, Epoch 7/50: BatchSize=32, Loss=0,229102, MSE=0,224075, RMSE=0,473366, R²=0,041430
Model=CNNV5dropout, Epoch 8/50: BatchSize=32, Loss=0,232862, MSE=0,222045, RMSE=0,471216, R²=0,050117
Model=CNNV5dropout, Epoch 9/50: BatchSize=32, Loss=0,191425, MSE=0,212903, RMSE=0,461414, R²=0,089224
Model=CNNV5dropout, Epoch 10/50: BatchSize=32, Loss=0,226838, MSE=0,207916, RMSE=0,455979, R²=0,110556
